Numero,NUMBEROFPERSON,ROOMSIZE,ATMOSSPHERICTEMPERATURE,ROOMTEMPERATURE,COOLINGCAPACITY,POWERCONSUMPTION,TILTSPOSITION,FANSPEED
1,Less,Small,Cold,Low,VeryCold,Low,Low,Low
2,Less,Medium,Warm,Medium,Cold,Medium,Centre,Medium
3,Less,Large,Hot,High,warm,High,High,Fast
4,Normal,Small,Cold,Low,Very cold,Low,Low,Low
5,Normal,Medium,Warm,Medium,Cold,Medium,Centre,Medium
6,Normal,Large,Hot,High,warm,High,High,Fast
7,More,Small,Cold,Low,Very cold,Low,Low,Low
8,More,Medium,Warm,Medium,Cold,Medium,Centre,Medium
9,More,Large,Hot,High,warm,High,High,Fast
10,Less,Small,Cold,Low,Very cold,Low,Low,Low
11,Normal,Small,Warm,Medium,Cold,Medium,Centre,Medium
12,More,Small,Hot,High,warm,High,High,Fast
13,Less,Medium,Cold,Low,Very cold,Low,Low,Low
14,Normal,Medium,Warm,Medium,Cold,Medium,Centre,Medium
15,More,Medium,Hot,High,warm,High,High,Fast
16,Less,Large,Cold,Low,Very cold,Low,Low,Low
17,Normal,Large,Warm,Medium,Cold,Medium,Centre,Medium
18,More,Large,Hot,High,warm,High,High,Fast
19,Less,Less,Cold,Low,Very cold,Low,Low,Low
20,Normal,Normal,Cold,Medium,Cold,Medium,Centre,Medium
21,More,More,Cold,High,warm,High,High,Fast
22,Less,Less,Warm,Low,Very cold,Low,Low,Low
23,Normal,Normal,Warm,Medium,Cold,Medium,Centre,Medium
24,More,More,Warm,High,warm,High,High,Fast
25,Less,Less,Hot,Low,Very cold,Low,Low,Low
26,Normal,Normal,Hot,Medium,Cold,Medium,Centre,Medium
27,More,More,Hot,High,warm,High,High,Fast
